127.0.0.1 - - [29/May/2019:14:40:02 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/May/2019:14:40:06 +0800] "GET /JSP_Mysql_demo01/admin/admin.jsp HTTP/1.1" 200 4380
0:0:0:0:0:0:0:1 - - [29/May/2019:14:40:06 +0800] "GET /JSP_Mysql_demo01/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:40:06 +0800] "GET /JSP_Mysql_demo01/ckeditor/ckeditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:40:06 +0800] "GET /JSP_Mysql_demo01/js/canvas-particle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:40:06 +0800] "GET /JSP_Mysql_demo01/images/banner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:40:06 +0800] "GET /JSP_Mysql_demo01/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:40:06 +0800] "GET /JSP_Mysql_demo01/images/ico-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:40:07 +0800] "GET /JSP_Mysql_demo01/index.jsp HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [29/May/2019:14:40:12 +0800] "GET /JSP_Mysql_demo01/edit.jsp?id=3 HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [29/May/2019:14:40:12 +0800] "GET /JSP_Mysql_demo01/ckeditor/config.js?t=C6HH5UF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:40:20 +0800] "GET null HTTP/1.1" 400 2243
